compter;to count
fait;done, fact
tel;such
droit;right
question;question
donc;so, then, therefore, thus
quel;which, what
général;general
moment;moment
entendre;to hear
beaucoup;much, a lot of, many
chaque;each
jeune;young
travail;work
femme;woman, wife
attendre;to wait
remettre;to deliver, replace, set, put
appeler;to call
permettre;to allow
occuper;to occupy
gouvernement;government
eux;them
devenir;to become
partir;to leave
plan;plan
décider;to decide
soit;either...or
ici;here
rien;nothing
cours;course
affaire;business, matter
nom;name
famille;family
effet;effect
arriver;to arrive, happen
possible;possible
car;because / bus
servir;to serve
mois;month
jamais;never
sembler;to seem
tant;so much, so many
vers;toward / verse
besoin;need
revenir;to come back
dès;from, as soon
moyen;means, way / medium
groupe;group
problème;problem
rapport;relationship, report
peut-être;perhaps, maybe
vue;view
maintenant;now
pourquoi;why
meilleur;better, best
trop;too much, too many
laisser;to leave
ordre;order
devant;in front, ahead
recevoir;to receive
répondre;to answer
vivre;to live
long;long, lengthy
service;service
ministre;minister
face;front, side, face
chez;at, with
te;you, to you, from you
rappeler;to recall, call back
présenter;to present
accepter;to accept
agir;to act
simple;simple
plusieurs;several
votre;your
important;important
présent;present
mieux;better
poser;to put, pose, ask
jouer;to play
mot;word
reconnaître;to recognize
force;force
situation;situation
offrir;to offer
près;near, nearby, close by
choisir;to choose
national;national
projet;project
ni;nor
puis;then, so
toucher;to touch
train;train
aujourd'hui;today
comment;how
surtout;especially, above all
gens;people
propre;clean, proper
grâce;thanks, grace, favour
idée;idea
selon;according to
région;region
aimer;to like, love
sens;sense, meaning
retrouver;to find, recall
semaine;week
également;also, too, as well, equally
ci;this one, here
façon;way, manner
nombre;number
perdre;to lose
français;French
expliquer;to explain
quatre;four
compte;account, count
considérer;to consider
lorsque;when
ouvrir;to open
gagner;to win, earn
exemple;example
ville;city
économique;economic, economical
mesure;measure
histoire;history, story
haut;top, high
ensuite;next
guerre;war
loi;law
président;president
exister;to exist
sûr;sure
refuser;to refuse
plutôt;rather
bureau;office, desk
mauvais;bad, wrong
quant;as for
mort;dead / death
mal;bad
lire;to read / lira
réussir;to succeed
marché;market
condition;condition
international;international
changer;to change
oui;yes
public;public, audience
humain;human
souvent;often
cinq;five
système;system
travailler;to work
jeu;game
vrai;true
représenter;to represent
madame;madam, lady
société;society
difficile;difficult
quoi;what
entreprise;enterprise, business
coup;coup, blow, knock, stroke
or;gold / hence, thus
social;social
assurer;to assure, insure
essayer;to try
juste;just, only / fair
étranger;foreigner / foreign
empêcher;to prevent
million;million
manière;manner, way
sortir;to go out, leave
prix;price / prize
terme;term, deadline
longtemps;a long time, a long while
reprendre;to resume, recover, start again, take back
courant;current
intérêt;interest
mener;to lead
information;information
détail;detail
appartenir;to belong
liberté;liberty, freedom
assez;enough
risquer;to risk
chacun;each
concerner;to concern
maison;house
d'abord;first of all
apprendre;to learn
niveau;level
rencontrer;to meet
ton;your / tone
œuvre;work, task
créer;to create
état;state
obtenir;to get, obtain
clair;clear
chercher;to look for
entrer;to enter, go in, come in
proposer;to propose
apporter;to bring
programme;program
loin;far
ligne;line
tête;head
libre;free
utiliser;to use
atteindre;to reach
tenter;to tempt, try
tard;late
enfin;at last, finally
différent;different
sorte;sort, kind
cependant;however
sujet;subject, topic
importer;to import / to be important
action;action
relation;relationship
recherche;research, search
livre;book
ajouter;to add
ailleurs;elsewhere, somewhere else
vraiment;truly, really, very
doute;doubt
reste;rest
début;beginning
présence;presence
nombreux;numerous
produire;to product
préparer;to prepare
forme;form
décision;decision
rôle;role
dix;ten
produit;product
américain;American
minute;minute
relever;to raise
autant;as much, as many
peuple;people
second;second
prochain;next
particulier;particular, peculiar / person
écrire;to write
position;position
développement;development
défendre;to defend, forbid
chef;head, leader, chief
économie;economy
effort;effort
parmi;among
membre;member
tirer;to pull, fire
ancien;ancient / former
beau;handsome, fine, right
plein;full
juger;to judge
éviter;to avoid
soir;evening
personnel;personnel, personal
titre;title
parti;party
objet;objective / object
unique;unique
souhaiter;to wish
afin;order to, so that
peine;effort, trouble
malgré;despite, in spite of
période;period
engager;to hire, involve
réaliser;to realize, achieve
parfois;sometimes
lors;at the time of
sérieux;serious
aider;to help, assist
voix;voice
terminer;to finish, end,
base;base
espérer;to hope
main;hand
gros;nadj(pl) big
arrêter;to stop, arrest
retour;return
prêt;ready
occasion;chance, opportunity
député;deputy, parliamentary delegate
regarder;to look, watch
plupart;the majority
deuxième;second
résultat;result, follow-up
écouter;to listen to
terre;earth, world, soil, land
valoir;to be worth
dollar;dollar
intérieur;interior, inside
page;page
confiance;confidence, trust
choix;choice
prévoir;to foresee, anticipate
chance;luck / chance
notamment;notably
type;type / guy
but;goal, aim, objective, purpose
matin;morning
grave;serious, grave
prise;grip, hold, seizure, catch
européen;European
étude;study
principe;principle
remplacer;to replace
avancer;to advance, move forward
six;six
nécessaire;necessary, required
activité;activity
valeur;value, worth
marquer;to mark
entier;whole, full
réponse;answer, response
aide;help, assistance
principal;principal
élever;to grow, lift, raise
pourtant;yet, nonetheless, nevertheless
commission;commission
cesser;to cease, stop
poursuivre;to pursue
maintenir;to maintain
époque;era, period
exprimer;to express
ami;friend
bas;low / stockings
imposer;to impose
moitié;half
avenir;future
argent;money / silver
mise;putting, placing
œil;eye
eau;water
sauf;except / safe
école;school
sécurité;security, safety
milieu;middle
lettre;letter
presque;almost
attention;attention
cadre;frame, executive
futur;future
mouvement;movement
former;to form
conduire;to lead, drive
règle;rule
poste;post, position / post office
demande;request, demand
centre;center
acte;act
disparaître;to disappear, vanish
priver;to deprive
constituer;to constitute
accord;agreement
milliard;billion, thousand million
lier;to link, join
obliger;to require, force, oblige
craindre;to fear, be afraid of
passé;past
âge;age
déclarer;to declare
oublier;to forget
propos;remark
troisième;third
quitter;to leave
bout;bit, tip, end
population;population
toi;you, yourself
responsable;responsible
route;road
tôt;early
lancer;to throw, launch
limite;limit
fonction;function
emploi;employment, work, use
objectif;objective, aim, goal / lens
paraître;to appear
journal;newspaper, paper
annoncer;to announce
lui-même;himself
tour;tower / turn / tour
voilà;right, there, here
volonté;will
envoyer;to send
partager;to share
puisque;since
établir;to establish
changement;change
garder;to keep
réalité;reality
interdire;to forbid, prohibit, ban
finir;to finish
placer;to place
sentir;to feel, smell
payer;to pay
esprit;mind, spirit
domaine;domain, field
diriger;to lead, direct
noter;to note, notice
nature;nature
régime;regime
charger;to load, charge
court;short
parent;parent
tomber;to fall
départ;departure
mondial;world, global
entraîner;to carry along, train
disposer;to arrange, set
parole;word
fond;bottom
publique;public
faux;false / scythe
genre;type, kind, sort
retenir;to retain, hold back, remember
communauté;community
intéresser;to interest, involve
c'est-à-dire;in other words
corps;body
matière;matter, subject, material
sein;breast, bosom
difficulté;difficulty
parvenir;to reach, achieve
secteur;sector
appel;call
cœur;heart
père;father
organisation;organisation
unité;unity / unit
noir;black
événement;event
double;double
convaincre;to convince
nation;nation
conseil;advice, counsel, council
soutenir;to sustain, support
paix;peace
nuit;night
partout;everywhere
direction;direction, management
manquer;to miss
actuel;current, present
opposer;to oppose
signifier;to mean
journée;day
d'ailleurs;moreover, besides, for that matter
traiter;to treat, handle, deal with
indiquer;to indicate, signal
tuer;to kill
technique;technique, technics, technical
rapidement;quickly, rapidly
autour;around
réduire;to reduce
d'après;to
préférer;to prefer
rue;street
riche;rich
bref;brief
nommer;to call, name, appoint
violence;violence
siècle;century
article;article
durer;to last
qualité;quality
gauche;left
solution;solution
voie;road, lane, route, track, way
capable;able, capable
canadien;Canadian
erreur;mistake, error
livrer;to deliver
auprès;nearby, close to
simplement;simply
souvenir;memory / to remember
conséquence;consequence
large;wide, width
contraire;opposite, contrary
succès;success
élément;element
local;local
été;summer
inviter;to invite
extérieur;exterior
pied;foot
mission;mission
débat;debate
fille;girl, daughter
répéter;to repeat
texte;text
profiter;to take advantage, profit
chambre;bedroom, chamber
création;creation
prouver;to prove
acheter;to buy
justice;justice
production;production
ignorer;to ignore
directeur;director
santé;health
souffrir;to suffer
précis;precise
fixer;to fix, arrange, set
mère;mother
croissance;growth
risque;risk
arme;weapon
estimer;to estimate / to consider, deem
endroit;place, spot
comité;committee
impossible;impossible
preuve;proof
véritable;real, true
amener;to bring
viser;to aim
retirer;to remove, withdraw
total;total
image;picture, image
date;date
travers;breadth, across / fault, amiss
contrôle;control
énorme;enormous
conserver;to keep, preserve
réel;real
campagne;countryside
naître;to be born
accorder;to grant
tourner;to turn
participer;to participate
vieux;old
rapide;fast, quick
respecter;to respect
passage;passage, way
essentiel;essential
adopter;to adopt
subir;to undergo, be subjected to, suffer
environ;about, thereabouts, or so
expérience;experience
admettre;to admit
découvrir;to discover
couvrir;to cover
assister;to attend / to assist, help
sénateur;senator
dépasser;to pass, go beyond
affirmer;to affirm, maintain, declare, allege
soumettre;to submit
financier;financial, financier
processus;process
militaire;military
frais;cool, fresh / fee, expense
industrie;industry
apparaître;to appear
responsabilité;responsibility
réserver;to reserve, keep
porte;door
victime;victim
territoire;territory
pauvre;poor
taux;rate
organiser;to organize
posséder;to possess, own, have
matériel;material, equipment
cent;one hundred, cent
constater;to note, notice / to establish, certify
prononcer;to pronounce
signe;sign
blanc;white
origine;origin, source
vendre;to sell
vite;fast, quickly
langue;language, tongue
dangereux;dangerous
déplacer;to move, displace
importance;importance
suffire;to be sufficient, suffice
espoir;hope
davantage;more
saisir;to take hold of, grab
énergie;energy
réseau;network
mourir;to die
faible;weak
employer;to use, employ
possibilité;possibility
spécial;special
accompagner;to accompany
actuellement;at present, at the moment
union;union
supposer;to suppose, assume
fournir;to provide, supply
ceci;this
exiger;to require, demand
intervenir;to intervene
fils;son
d'accord;okay, alright
discuter;to discuss, debate / to question
différence;difference
protéger;to protect
abandonner;to give up, abandon
avis;opinion, mind
battre;to beat, hit
pire;worse, worst
adresser;to address
préciser;to state, specify, clarify
intervention;intervention / talk
attirer;to attract
demeurer;to remain, live
chiffre;figure, number
consacrer;to devote, consecrate
remplir;to fill, fulfill
divers;diverse, various
appliquer;to apply
frapper;to hit, strike, knock
peur;fear
parlement;parliament
fermer;to close, shut
forcer;to force
lutte;struggle, fight, conflict
naturel;natural
air;air, appearance
auteur;author
opération;operation
heureux;happy, lucky, fortunate
crise;crisis
numéro;number
résoudre;to solve, resolve
publier;to publish
instant;instant, moment
toutefois;however
pousser;to push
quelqu'un;somebody, someone
discours;speech, talk, discourse
banque;bank
compagnie;company
reposer;to rest
opinion;opinion
classe;class
particulièrement;particularly
commun;common
satisfaire;to satisfy
intention;intention
autorité;authority
anglais;English
échange;exchange
feu;fire
neuf;nine / new
observer;to observe, watch
capacité;capacity, ability
désigner;to designate
dépendre;to depend
message;message
construire;to build, construct
scène;scene
durant;during, for
secret;secret
plaisir;pleasure
dossier;file, record / case
proposition;proposition, proposal
combien;how much, how many
nul;nil, null
absence;absence
cher;expensive
plaire;to please
derrière;last / behind
connaissance;knowledge
immédiatement;immediately
entrée;entrance
signer;to sign
révéler;to reveal
couper;to cut
salle;room
pièce;piece, part, component / room
équipe;team
situer;to situate, locate
souligner;to underline, stress
source;source, spring
respect;respect
crime;crime
précédent;precedent / previous
installer;to install
facile;easy
augmenter;to increase, raise
réunir;to gather, reunite, raise
impression;impression
octobre;October
médecin;physician, doctor
fédéral;federal
police;police
coût;cost
formation;training
contrat;contract
normal;normal
attitude;attitude
faute;mistake, error, fault
série;series
lever;to lift, raise
proche;nearby, close
direct;direct
imaginer;to imagine
figurer;to represent, appear
pratique;practice, practical
finalement;finally, eventually
allemand;German
pression;pressure
accès;access
champ;field, realm
film;film
charge;to charge, load
envisager;to view, contemplate
commune;locality / common, joint
ressource;resource
monter;to go up, rise, assemble
promettre;to promise
motion;motion
concentrer;to concentrate
exactement;exactly
composer;to compose, dial
chemin;path, way
zone;zone, area
province;province
élection;election
usage;use, usage
conflit;conflict
hors;except, outside
enquête;inquiry, enquiry, investigation
terrain;ground, terrain
mars;March / Mars
tellement;so much
espace;space
demain;tomorrow
hier;yesterday
confier;to entrust
remarquer;to remark / to notice, point out
égard;consideration, respect, regard
supérieur;superior
huit;eight
condamner;to condemn
capital;major, chief, principal / capital, assets
lien;link, bond
voiture;car
discussion;discussion
limiter;to limit
justifier;to justify
agent;agent
sentiment;feeling
tâche;task
directement;directly
euh;er, um, uh
raconter;to tell
décembre;December
développer;to develop
honorable;honorable
contact;contact
conclure;to conclude
fruit;fruit
ouvert;open
investissement;investment
insister;to insist
avantage;advantage
garde;guard
historique;historical
probablement;probably
voyage;trip, journey
sept;seven
marche;walk, step, march
vérité;truth
commercial;commercial
critique;criticism, critic, critical
ministère;ministry
baisser;to lower, turn down, bend down
somme;amount, sum / nap
culture;culture
cacher;to hide
prêter;to lend
définir;to define
client;client
exposer;to display, exhibit, expose
progrès;progress
secrétaire;secretary
mer;sea
rapporter;to bring back, report
appuyer;to lean, support
liste;list
rentrer;to go in, come in, come back, return
mémoire;memory
caractère;nature, character
détruire;to destroy
civil;civil / civilian
nécessité;necessity, need
juin;June
danger;danger
complexe;complex
commerce;trade, commerce
transport;transportation
attente;wait
institution;institution
défense;defense
janvier;January
échapper;to escape
négociation;negotiation
franc;frank / franc
mai;May
septembre;September
environnement;environment
séparer;to separate
réaction;reaction
disposition;arrangement, disposition
positif;positive
scientifique;scientific
papier;paper
expression;expression
protection;protection
indépendant;independent
carte;card
association;association
régler;to pay, adjust, settle
modèle;model
commander;to order, command
étudier;to study
déterminer;to determine, find out, specify
budget;budget
fonder;to found, set
structure;structure
complet;full, complete / suit
exercer;to exercise, exert, practise, carry out
amour;love
manifester;to show, demonstrate, display
menacer;to threaten
conseiller;adviser, to advise
réunion;meeting
opposition;opposition
maladie;illness, disease
outre;besides
tandis;while
construction;construction, building
bande;band, strip
signal;signal
voisin;neighbor
réforme;reform
rejeter;to reject
novembre;November
fonds;funds
coûter;to cost
reprise;resumption, renewal / time
presse;press
rouge;red
majorité;majority
autoriser;to authorize
effectuer;to carry out, undergo
bord;edge, side
central;central
procédure;procedure
faveur;favor
éducation;education
officiel;official
document;document
aspect;aspect
retourner;to return, go back
professionnel;professional
auparavant;beforehand
animal;animal
utile;useful
inscrire;to register, write down
concurrence;competition
déclaration;declaration
rejoindre;to rejoin, reunite
mille;a thousand
absolument;absolutely
prison;prison
armée;army
revenu;income
complètement;completely
confirmer;to confirm
salaire;salary, wage
lecture;reading
contribuer;to contribute
attaquer;to attack
table;table
remonter;to go back up
certes;indeed, certainly, of course
avril;April
autrement;differently, something else, otherwise
ferme;farm / firm
désormais;from now on, henceforth
lourd;heavy
susciter;to arouse, provoke
république;republic
dur;hard
application;application
lutter;to struggle, fight
profit;profit, benefit
contenir;to contain
déposer;to deposit, put down
modifier;to modify, adjust
communication;communication
jugement;judgement
manque;lack
échec;failure
traverser;to cross, traverse
transformer;to transform
engagement;agreement, commitment
frère;brother
mardi;Tuesday
rencontre;meeting
vote;vote
renvoyer;to send back, dismiss
regretter;to regret
espèce;species
recommandation;recommendation
consister;to consist
réagir;to react
surprendre;to surprise
circonstance;circumstance
témoin;witness
améliorer;to improve
administration;administration
réfléchir;to reflect
lumière;light
vert;green
apprécier;to appreciate
combat;fight, combat
sensible;sensitive
étudiant;student
vitesse;speed
malade;ill, sick
portée;range, reach, scope
élève;pupil, student
contrôler;to control, check, inspect, monitor
merci;thank you / favor
certainement;certainly
visite;visit
assemblée;assembly, meeting
émission;transmission, broadcasting, programme
arrivée;arrival
puissance;power
partenaire;partner
contenter;to satisfy, please
perte;loss
libéral;liberal
citoyen;citizen
citer;to quote
influence;influence
camp;camp
établissement;establishment, organization
vendredi;Friday
avance;advance
destiner;to intend, be used
causer;to cause
nord;north
lundi;Monday
maître;master
interroger;to question, interrogate
conférence;conference
provoquer;to provoke
vente;sale
ramener;to bring back, return, take back
soldat;soldier
collègue;colleague
concevoir;to conceive
procéder;to proceed
poids;weight
voici;here is, here are, this is, these are
acquérir;to acquire
moindre;lesser, least, slightest
convenir;to agree, be suitable
logique;logic, logical
examiner;to examine
soin;care
mesurer;to measure
traitement;treatment, salary, wage
jeudi;Thursday
impliquer;to imply, implicate
science;science
individu;individual
donnée;fact, datum
demi;half
combattre;to fight
violent;violent
comporter;to comprise, include / to behave
suivant;following
mériter;to deserve, merit
emprunter;to borrow
conscience;conscience, consciousness
traduire;to translate
sang;blood
millier;thousand
emporter;to take, remove
initiative;initiative
nucléaire;nuclear
industriel;industrial
vif;lively
exact;exact, correct
exception;exception
doubler;to double, pass / to dub
février;February
mode;mode, way, fashion
tendre;to tighten / to extend, stretch / tender
musique;music
gestion;management
honneur;honor
vaste;vast, immense
évoquer;to recall, evoke
fonctionner;to function, work
étape;stage, step
physique;physical, physics
accuser;to accuse
parfaitement;perfectly
méthode;method, procedure
professeur;professor, teacher
envers;towards
distribuer;to distribute, give out
existence;existence
prétendre;to pretend
global;global
dommage;damage, harm / too bad
crédit;credit
tendance;tendency, trend
chaîne;chain, channel
relatif;relative
note;note, grade
réserve;reserve
maximum;maximum
moteur;motor
version;version
règlement;rule, regulation
couple;couple
mercredi;Wednesday
régional;regional
sinon;otherwise, or else
entreprendre;to begin, start, undertake
au-delà;beyond
étendre;to spread out, stretch out
sortie;exit
profond;deep
décrire;to describe
etc;et cetera
récent;recent
télévision;television
retraite;retirement, pension
art;art
frontière;border
égal;equal
promesse;promise
entretenir;to maintain
habiter;to live
quartier;district, quarter
avocat;lawyer
accueillir;to welcome, greet, accommodate
libérer;to free, liberate, release
vivant;alive, living
université;university
rire;to laugh
facilement;easily
crainte;fear
commettre;to commit
précisément;precisely
soutien;support
urgence;emergency
clé;key
enlever;to remove
jeter;to throw
religieux;religious
analyse;analysis
disponible;available
regard;look, glance
prévenir;to prevent, warn / to notify
bientôt;soon
analyser;to analyse
mariage;marriage
couleur;color
témoigner;to testify
sauver;to rescue, save
parlementaire;parliamentary / member of parliament
conclusion;conclusion
bleu;blue
dehors;outside
remercier;to thank
actif;active
réclamer;to ask for, call for / to claim
habitude;habit
récemment;recently
fil;thread, wire
collectif;collective
excellent;excellent
moral;moral, morale
accident;accident
code;code
puissant;powerful
recueillir;to collect, gather
fabriquer;to manufacture, invent, make
représentant;representative
rare;rare
extraordinaire;extraordinary
dimanche;Sunday
vérifier;to check, verify
envie;envy
enregistrer;to record, check in
moderne;modern
parc;park
impôt;tax
sud;south
efficace;efficient, effective
intéressant;interesting
île;island
cité;city
carrière;career
voter;to vote
traité;treaty
libération;liberation
nourrir;to feed, nourish
sérieusement;seriously
bras;arm
immédiat;immediate
exceptionnel;exceptional
rechercher;to search for
palestinien;Palestinian
lendemain;next day
producteur;producer
garantir;to guarantee
geste;gesture
roman;novel
augmentation;increase, rise
facteur;postman, mailman / factor
policier;policeman
échelle;ladder, scale
supplémentaire;additional
pratiquer;to practice
pensée;thought
extrême;extreme
néanmoins;nevertheless
bénéficier;to benefit
vingt;twenty
revoir;to see again, revise
perspective;perspective, viewpoint
défaut;fault, flaw, shortcoming
précieux;precious
retard;delay
démocratie;democracy
renforcer;to reinforce, strengthen
silence;silence
troupe;troup, troop
qualifier;to qualify
absolu;absolute
dégager;to free, clear
stratégie;strategy
bateau;boat, ship
printemps;spring
course;race, shopping
exercice;exercise,
fondamental;fundamental
visage;face
droite;right
machine;machine
village;village
britannique;British
surveiller;to watch
édition;publishing, editing, edition
organisme;organism
leçon;lesson
accomplir;to accomplish
décevoir;to disappoint
bataille;battle
port;harbour, port
naissance;birth
majeur;major
froid;cold
hôpital;hospital
circuit;circuit
terrible;terrible, dreadful
degré;degree
exigence;demand, strictness
rêve;dream
inspirer;to inspire
opérer;to operate, carry out
entièrement;entirely, completely
chapitre;chapter
quotidien;daily
clairement;clearly
joindre;to join
léger;light
permanent;permanent
juge;judge
après-midi;afternoon
russe;Russian
juillet;July
ordinaire;ordinary
candidat;candidate
rapprocher;to bring closer, get closer
résistance;resistance
fier;to rely on / proud
justement;exactly, rightly, precisely
habitant;inhabitant
formule;formula, expression
mur;wall
tribunal;court
journaliste;journalist
manger;to eat
soulever;to lift up
évidemment;obviously
travailleur;worker
résolution;resolution
dirigeant;leader
marque;brand, mark
utilisation;use
offre;offer
habituel;customary, habitual
survivre;to survive
populaire;popular
constitution;constitution
participation;participation
évolution;evolution
totalement;totally
gérer;to manage
samedi;Saturday
informer;to inform
fou;mad, crazy
attacher;to attach
renouveler;to renew
asseoir;to sit
oh;oh
transfert;transfer
renoncer;to give up, renounce
roi;king
soi;one, oneself, self
téléphone;telephone
net;clear / Internet
foi;faith
motif;motive, purpose
plaindre;to pity, feel sorry for, complain
tradition;tradition
institut;institute
victoire;victory
arrêt;stop
concours;entrance exam, competition
vis-à-vis;face to face, regarding
aboutir;to succeed, end up at
visiter;to visit
elle-même;herself, itself
démocratique;democratic
tentative;attempt
largement;widely
échouer;to fail
désirer;to desire
côte;coast
génération;generation
vent;wind
technologie;technology
inquiéter;to worry, disturb
dépit;spite, heartache
équilibre;balance, equilibrium
inquiet;worried, anxious
obstacle;obstacle
réflexion;reflection
uniquement;only
affecter;to affect
revanche;revenge / return
ressembler;to look like, resemble
station;station
supporter;to support, endure
privé;private
catégorie;category
mine;mine / appearance, look, mien
législatif;legislative
ah;ah, oh
propriétaire;owner
favoriser;to favor
priorité;priority
avion;plane
minimum;minimum
criminel;criminal
photo;photo
précéder;to precede
solide;solid
correspondre;to correspond
navire;ship
centaine;hundred
explication;explanation
transmettre;to forward, transmit
appareil;apparatus, device
publication;publication
associer;to associate
trait;line, feature
référence;reference
bois;wood
identifier;to identify
symbole;symbol
consommation;consumption
idéal;ideal
chômage;unemployment
courage;courage
reconnaissance;recognition, gratitude
entretien;interview, discussion, maintenance
encourager;to encourage
kilomètre;kilometer
dérouler;to unwind, enroll
identité;identity
amendement;amendment
signaler;to indicate, signal
division;division
contexte;context
coupable;guilty
favorable;favorable
obligation;obligation, bond
août;August
attribuer;to award, grant, attribute
courir;to run
examen;exam
personnage;character, individual
dénoncer;to denounce
inconnu;unknown
échanger;to exchange
montant;upright, upwards, sum, total
éliminer;to eliminate
ouverture;opening
tableau;frame, picture, painting, panel
exclure;to exclude
meurtre;murder
exemplaire;exemplary / copy
propriété;property
final;final
site;site
séance;session, meeting
durée;length, duration
élire;to elect
baisse;fall, drop
inquiétude;worry, anxiety
israélien;Israeli
représentation;representation
pareil;similar, likewise / peer, equal
mandat;term, mandate
quinze;fifteen
vide;empty
statut;status
essai;attempt, try, test
sourire;smile, to smile
italien;Italian
suggérer;to suggest
interrompre;to interrupt
au-dessus;above
agence;agency
usine;factory
unir;to unite
rang;rank, row
employé;employee
sommet;summit
franchir;to get over
évident;obvious
comportement;behavior
fête;holiday, celebration
sol;floor, ground
écarter;to separate, move apart, keep away
vague;vague / wave
réduction;reduction
culturel;cultural
coopération;cooperation
vertu;virtue
d'autant;since
leader;leader
taille;size, height
contenu;contents
distance;distance
automne;fall, autumn
arrière;back, rear
vision;vision, view
investir;to invest
diminuer;to diminish, decrease
réfugier;to take refuge
entourer;to surround
juif;Jew, Jewish
considérable;considerable, significant
conduite;behavior, driving
convention;agreement, convention
communiquer;to communicate
prolonger;to prolong, extend
verser;to pour, deposit, shed
évidence;evidence
essentiellement;essentially
démontrer;to demonstrate
négatif;negative
approche;approach
délai;delay
accroître;to increase
bruit;noise
humanité;humanity
radio;radio
moi-même;myself
syndicat;union
prudent;prudent, careful, cautious
soirée;evening
vol;flight, theft
marcher;to walk
tiers;third
mètre;meter
aborder;to reach, approach
occidental;western
suffisant;sufficient
ciel;sky
tromper;to deceive
modeste;modest
éloigner;to move away, take away, distance
seconde;second
malheureusement;unfortunately
évaluer;to evaluate
extrêmement;extremely
interne;internal, interior, intern
voire;even, indeed
témoignage;testimony
messieurs;gentlemen
effectivement;effectively
gaz;gas
acteur;actor
adapter;to adapt
cour;yard, court
dépense;expense, expenditure
souci;worry, concern
expert;expert
sœur;sister
relativement;relatively
comparer;to compare
procès;trial, proceedings
provenir;to be from, come from
réellement;really
conscient;conscious, aware
céder;to give up, give way
médical;medical
diviser;to divide
colère;anger
patient;patient
notion;notion
siège;seat, bench
hausse;rise, raise, increase
mécanisme;mechanism
traditionnel;traditional
quart;quarter
approcher;to approach
trafic;traffic, circulation
catholique;Catholic
foyer;home, hearth
adulte;adult
reprocher;to blame, reproach
métier;job, occupation, trade
modification;modification
peser;to weigh
médias;media
hiver;winter
définition;definition
spécialiste;specialist
mari;husband
supprimer;to remove, withdraw
guère;hardly
douter;to doubt
ressentir;to feel
sexuel;sexual
consulter;to consult
renseignement;information
âgé;old
fonctionnement;operation, functioning
garçon;boy
parfait;perfect
résumer;to summarize, sum up
prévision;forecast, prediction, expectation
quatrième;fourth
fenêtre;window
incapable;incapable, incompetent
hésiter;to hesitate
menace;threat
universel;universal
jeunesse;youth
voler;to steal, rob
résister;to resist
profondément;profoundly, deeply
séparation;separation
inutile;useless
refus;refusal
poisson;fish
révolution;revolution
prisonnier;prisoner, captive
avouer;to admit
saluer;to greet, salute
fer;iron
familial;family
cinéma;cinema
calcul;calculation
armé;armed
enseignement;education, teaching
étonnant;surprising, amazing, incredible
dizaine;approximately ten
dessus;above, on top
achever;to complete, finish, end
fonctionnaire;state employee, public servant
instruction;instruction, direction
pratiquement;practically
oser;to dare
rassembler;to gather together
réalisation;realization, achievement
fiscal;fiscal
démarche;walk, process
corriger;to correct
volume;volume
réussite;success
désir;desire
pur;pure
exportation;export
prier;to pray
trente;thirty
âme;soul
dominer;to dominate
autorisation;authorization, permission, permit
instrument;instrument
indépendance;independence
tort;wrong
hauteur;height
critiquer;to criticize
attaque;attack
assurance;insurance, confidence
déficit;deficit
évoluer;to evolve
drogue;drug
concret;concrete
percevoir;to perceive
rythme;rhythm, rate
approuver;to approve
douze;twelve
juridique;legal, judicial
