ik;I
foarnaamste;main
iepen;open
lykje;seem
mei-inoar;together
folgjende;next
wyt;white
bern;children
begjinne;begin
got;got
kuier;walk
foarbyld;example
gemak;ease
papier;paper
groep;group
altyd;always
muzyk;music
dy;those
beide;both
merk;mark
faak;often
letter;letter
oant;until
myl;mile
rivier;river
auto;car
fuotten;feet
soarch;care
twadde;second
genôch;enough
plain;plain
meisje;girl
wenstich;usual
jong;young
klear;ready
boppe;above
ea;ever
read;red
list;list
lykwols;though
fiele;feel
prate;talk
fûgel;bird
gau;soon
lichem;body
hûn;dog
famylje;family
direkt;direct
pose;pose
ferlitte;leave
liet;song
mjitte;measure
doar;door
produkt;product
swart;black
koart;short
numeral;numeral
klasse;class
wyn;wind
fraach;question
barre;happen
kompleet;complete
skip;ship
krite;area
heal;half
rots;rock
oarder;order
fjoer;fire
Súd;south
probleem;problem
stik;piece
ferteld;told
witte;knew
pas;pass
sûnt;since
top;top
hiel;whole
kening;king
strjitte;street
inch;inch
fermannichfâldigje;multiply
neat;nothing
ferrin;course
bliuwe;stay
tsjil;wheel
fol;full
krêft;force
blau;blue
objekt;object
beslute;decide
oerflak;surface
djip;deep
moanne;moon
eilân;island
foet;foot
systeem;system
drok;busy
toets;test
opnimme;record
boat;boat
gewoan;common
goud;gold
mooglik;possible
plane;plane
plak;stead
droech;dry
wûnder;wonder
laitsje;laugh
tûzen;thousand
lyn;ago
draafde;ran
kontrôle;check
wedstriid;game
foarm;shape
definiearje;equate
hyt;hot
misse;miss
brocht;brought
hjitte;heat
snie;snow
bân;tire
bringe;bring
ja;yes
fier;distant
folje;fill
east;east
fervje;paint
taal;language
ûnder;among
ienheid;unit
krêft;power
stêd;town
moai;fine
beskaat;certain
fleane;fly
falle;fall
foarsprong;lead
gûle;cry
tsjuster;dark
masine;machine
noat;note
wachtsje;wait
plan;plan
stal;figure
stjer;star
doaze;box
haadwurd;noun
fjild;field
rêst;rest
korrekt;correct
steat;able
pûn;pound
klear;done
skientme;beauty
ride;drive
stie;stood
befetsje;contain
front;front
ûnderwize;teach
wike;week
lêste;final
joech;gave
grien;green
oh;oh
gau;quick
ûntwikkelje;develop
oseaan;ocean
waarm;warm
frij;free
minút;minute
sterk;strong
spesjaal;special
geast;mind
efter;behind
opklearje;clear
sturt;tail
produsearje;produce
feit;fact
rûmte;space
heard;heard
bêst;best
oere;hour
better;better
wier;true
tidens;during
hûndert;hundred
fiif;five
remember;remember
stap;step
betiid;early
hâlde;hold
west;west
grûn;ground
rinte;interest
berikke;reach
fluch;fast
tiidwurd;verb
sjonge;sing
Harkje;listen
seis;six
tafel;table
reizgje;travel
minder;less
moarntiid;morning
tsien;ten
ienfâldich;simple
ferskate;several
lûd;vowel
nei;toward
oarloch;war
lizze;lay
tsjin;against
patroan;pattern
stadich;slow
sintrum;center
leafde;love
persoan;person
jild;money
tsjinje;serve
skine;appear
wei;road
map;map
rein;rain
regel;rule
bestjoere;govern
lûke;pull
kâld;cold
notice;notice
lûd;voice
enerzjy;energy
jacht;hunt
wierskynlik;probable
bêd;bed
broer;brother
aai;egg
rit;ride
sel;cell
leauwe;believe
faaks;perhaps
pick;pick
hommels;sudden
telle;count
fjouwerkant;square
reden;reason
lingte;length
fertsjintwurdigje;represent
keunst;art
ûnderwerp;subject
regio;region
grutte;size
ôfwikselje;vary
settle;settle
sprekke;speak
gewicht;weight
algemien;general
iis;ice
matearje;matter
sirkel;circle
pear;pair
include;include
ferdiele;divide
wurdlid;syllable
fiele;felt
grand;grand
bal;ball
noch;yet
weach;wave
falle;drop
hert;heart
bin;am
oanwêzich;present
swier;heavy
dûnsje;dance
motor;engine
posysje;position
earm;arm
wiid;wide
sile;sail
materiaal;material
fraksje;fraction
wâld;forest
sitte;sit
ras;race
finster;window
winkel;store
simmer;summer
trein;train
sliep;sleep
bewize;prove
lone;lone
skonk;leg
oefenje;exercise
muorre;wall
fange;catch
mount;mount
winsk;wish
himel;sky
board;board
freugde;joy
winter;winter
Sat;sat
skreaun;written
wyld;wild
ynstrumint;instrument
hâlden;kept
glês;glass
gers;grass
ko;cow
taak;job
edge;edge
teken;sign
besite;visit
ferline;past
sêft;soft
wille;fun
helder;bright
gas;gas
Wetter;weather
moanne;month
miljoen;million
bear;bear
ein;finish
lokkich;happy
hope;hope
blom;flower
bekleden;clothe
frjemd;strange
gone;gone
handel;trade
melody;melody
reis;trip
kantoar;office
ûntfange;receive
rigel;row
mûle;mouth
eksakt;exact
symboal;symbol
stjerre;die
minst;least
lijen;trouble
roppe;shout
útsein;except
skreau;wrote
sied;seed
toan;tone
join;join
suggest;suggest
skjin;clean
brekke;break
dame;lady
hiem;yard
opstean;rise
min;bad
blaze;blow
oalje;oil
bloed;blood
oanreitsje;touch
groeide;grew
sint;cent
mix;mix
ploech;team
wire;wire
kosten;cost
ferlern;lost
brún;brown
drage;wear
tún;garden
lyk;equal
ferstjoerd;sent
kieze;choose
foel;fell
passe;fit
streame;flow
earlik;fair
bank;bank
sammelje;collect
rêde;save
Kontrolearje;control
desimaal;decimal
ear;ear
oars;else
frij;quite
bruts;broke
rjochtsaak;case
midden;middle
fermoardzje;kill
soan;son
mar;lake
momint;moment
skaal;scale
lûd;loud
maitiid;spring
observearjen;observe
bern;child
rjocht;straight
consonant;consonant
naasje;nation
wurdboek;dictionary
molke;milk
faasje;speed
metoade;method
orgaan;organ
betelje;pay
leeftyd;age
ôfdieling;section
jurk;dress
wolk;cloud
ferrassing;surprise
stil;quiet
stien;stone
tiny;tiny
klim;climb
koel;cool
ûntwerp;design
earm;poor
protte;lot
eksperimint;experiment
boaiem;bottom
kaai;key
izer;iron
inkel;single
stôk;stick
flet;flat
tweintich;twenty
fel;skin
laitsje;smile
crease;crease
gat;hole
springe;jump
poppe;baby
acht;eight
doarp;village
moetsje;meet
woartel;root
keapje;buy
opslach;raise
oplosse;solve
metaal;metal
of;whether
triuwe;push
sân;seven
paragraaf;paragraph
tredde;third
sille;shall
held;held
hier;hair
beskriuwe;describe
kok;cook
flier;floor
itsij;either
resultaat;result
burn;burn
heuvel;hill
feilich;safe
kat;cat
ieu;century
beskôgje;consider
type;type
wet;law
bit;bit
kust;coast
kopy;copy
phrase;phrase
stil;silent
grut;tall
sân;sand
ierde;soil
roll;roll
temperatuer;temperature
finger;finger
yndustry;industry
wearde;value
fjochtsje;fight
lizze;lie
slaan;beat
excite;excite
natuerlik;natural
fisy;view
sin;sense
haadstêd;capital
sil net;won’t
stoel;chair
gefaar;danger
fruit;fruit
ryk;rich
dik;thick
soldaat;soldier
proses;process
operearje;operate
praktyk;practice
skiede;separate
dreech;difficult
dokter;doctor
asjebleaft;please
beskermje;protect
middei;noon
crop;crop
modern;modern
elemint;element
slaan;hit
studint;student
hoeke;corner
feest;party
leverje;supply
waans;whose
locate;locate
ring;ring
personaazje;character
ynsekt;insect
fongen;caught
perioade;period
oanjaan;indicate
radio;radio
spriek;spoke
atoom;atom
minske;human
skiednis;history
effekt;effect
elektrysk;electric
ferwachtsje;expect
bonke;bone
rail;rail
yntinke;imagine
foarsjen;provide
oerienkomme;agree
dus;thus
sêfte;gentle
frou;woman
kaptein;captain
riede;guess
needsaaklik;necessary
skerp;sharp
wjuk;wing
meitsje;create
buorman;neighbor
waskje;wash
bat;bat
leaver;rather
kliber;crowd
nôt;corn
ferlykje;compare
gedicht;poem
string;string
Bel;bell
ôfhinklik;depend
fleis;meat
rub;rub
tube;tube
ferneamd;famous
dollar;dollar
stream;stream
bangens;fear
eagen;sight
tin;thin
trijehoek;triangle
planeet;planet
hurry;hurry
haad;chief
koloanje;colony
klok;clock
myn;mine
bine;tie
yngean;enter
majoar;major
farsk;fresh
sykje;search
stjoere;send
giel;yellow
gun;gun
talitte;allow
ôfdrukke;print
dea;dead
plak;spot
woastyn;desert
kostúm;suit
aktueel;current
lift;lift
roas;rose
oankomme;arrive
master;master
spoar;track
âlder;parent
wâl;shore
ferdieling;division
fel;sheet
stof;substance
geunst;favor
ferbine;connect
peal;post
trochbringe;spend
akkoard;chord
fet;fat
bliid;glad
oarspronklik;original
diele;share
stasjon;station
heit;dad
bôle;bread
kosten;charge
proper;proper
bar;bar
oanbod;offer
segment;segment
slaaf;slave
duck;duck
instant;instant
merk;market
graad;degree
populate;populate
chick;chick
dear;dear
fijân;enemy
antwurdzje;reply
drinke;drink
foarkomme;occur
stypje;support
spraak;speech
natuer;nature
berik;range
steam;steam
moasje;motion
paad;path
floeistof;liquid
lochboek;log
betsjutte;meant
quotient;quotient
tosken;teeth
shell;shell
nekke;neck
soerstof;oxygen
sûker;sugar
dea;death
skoander;pretty
feardigens;skill
froulju;women
seizoen;season
oplossing;solution
magneet;magnet
sulver;silver
tankje;thank
tûke;branch
wedstriid;match
efterheaksel;suffix
foaral;especially
fig;fig
bang;afraid
grutte;huge
suster;sister
stiel;steel
diskusjearje;discuss
foarút;forward
similar;similar
guide;guide
ûnderfining;experience
skoare;score
appel;apple
kocht;bought
led;led
fjild;pitch
jas;coat
mis;mass
Kaart;card
band;band
tou;rope
slip;slip
winne;win
dream;dream
jûn;evening
betingst;condition
feed;feed
helpmiddel;tool
totaal;total
basic;basic
rûke;smell
delte;valley
noch;nor
dûbel;double
sit;seat
trochgean;continue
blok;block
chart;chart
hoed;hat
ferkeapje;sell
sukses;success
bedriuw;company
subtract;subtract
barren;event
beskaat;particular
oerienkomst;deal
swimme;swim
term;term
tsjinoer;opposite
frou;wife
shoe;shoe
skouder;shoulder
spread;spread
arrange;arrange
kamp;camp
útfine;invent
katoen;cotton
berne;born
bepale;determine
quart;quart
njoggen;nine
frachtauto;truck
lûd;noise
peil;level
kâns;chance
gather;gather
winkel;shop
stretch;stretch
goaie;throw
glans;shine
besit;property
pylder;column
molecule;molecule
útkieze;select
ferkeard;wrong
griis;gray
repeat;repeat
fereaskje;require
breed;broad
tariede;prepare
sâlt;salt
noas;nose
meartal;plural
lilkens;anger
eask;claim
kontinint;continent
